day,hour,status
6,80,0.2
6,85,0.7333333333333333
6,90,0.8
6,95,0.8666666666666667
6,100,1.0
6,105,1.0666666666666667
6,110,1.2
6,115,1.2666666666666666
6,120,1.6
6,125,1.8666666666666667
6,130,2.0
6,135,2.0
6,140,1.8
6,145,1.5333333333333334
6,150,1.2
6,155,0.6
6,160,0.8
6,165,0.8
6,170,0.8
6,175,0.9333333333333333
6,180,1.0
6,185,0.8666666666666667
6,190,1.0
6,195,1.0
6,200,1.0
6,205,0.8
6,210,0.8
6,215,0.8
6,220,0.8
6,225,0.5333333333333333
6,230,0.4
6,235,0.13333333333333333
